Date,Open,High,Low,Close,Volume
2022/10/26,29.9,32.85,29.9,31.55,22.49M
2022/10/27,32.8,33,30.1,30.55,14.01M
2022/10/28,28.9,29.05,25.65,26,28.58M
2022/10/31,25.95,27.1,24.8,25.4,17.29M
2022/11/1,25.8,27.8,24.75,27.45,24.22M
2022/11/2,25.3,27.45,25.05,27.1,25.07M
2022/11/3,26.25,27.75,25.95,26.05,17.31M
2022/11/4,27.1,33.85,27.1,32.35,64.57M
2022/11/7,30.9,34.2,30.35,32.8,33.06M
2022/11/8,32,32.6,30.8,31.15,19.48M
2022/11/9,31.3,31.6,28.6,29,22.44M
2022/11/10,26.8,27.05,25.65,26.25,26.87M
2022/11/11,29,30.65,27.3,30.45,34.22M
2022/11/14,33,35.45,32.95,34.7,43.04M
2022/11/15,35,41.5,33.95,37.9,47.01M
2022/11/16,35.85,37.05,34.1,35.15,31.00M
2022/11/17,31.9,32.75,31.15,32.35,30.68M
2022/11/18,32.35,33.2,30.7,30.85,34.61M
2022/11/21,29.9,30.3,28.85,29.85,20.59M
2022/11/22,28.75,29.25,27.65,27.9,26.86M
2022/11/23,27.9,28.5,27.1,27.85,21.20M
2022/11/24,28.75,29.4,27.7,28.15,18.65M
2022/11/25,28.35,28.5,27.25,27.55,12.69M
2022/11/28,26.65,27.7,25.85,27.5,18.44M
2022/11/29,27.25,29.15,26.75,29,26.69M
2022/11/30,29.1,33.65,28.5,33.65,64.09M
2022/12/1,38.65,44.95,37,37.95,74.04M
2022/12/2,37.95,39,36.55,39,28.49M
2022/12/5,44.4,49.9,42.55,49.3,72.41M
2022/12/6,45.9,47.45,44.55,46.55,32.33M
2022/12/7,47,50.4,43,43.8,38.70M
2022/12/8,43.85,46.35,42.65,45.2,32.96M
2022/12/9,47,47.5,44.8,46.85,19.63M
2022/12/12,43,43.55,40.65,41.65,25.41M
2022/12/13,41.3,42.6,40.6,41.35,13.39M
2022/12/14,40.4,41.75,39.4,40.75,16.82M
2022/12/15,40,40.65,38.55,40.15,14.60M
2022/12/16,39.7,41.9,38.95,40.8,23.29M
2022/12/19,41.8,42.8,39.3,39.85,12.62M
2022/12/20,37.95,38.25,36.6,37.1,15.01M
2022/12/21,39.3,39.4,38.25,38.85,11.45M
2022/12/22,42.65,44.1,42.05,43.2,25.23M
2022/12/23,41.45,42.1,40.85,41.8,12.78M
2022/12/28,38.95,39.05,37.5,37.75,23.25M
2022/12/29,37,38.05,36.75,37.55,10.77M
2022/12/30,38.8,39.15,37.85,38.35,10.00M
2023/1/3,38.35,41.5,37.95,41.35,17.77M
2023/1/4,40.7,41.35,39.7,41.3,12.62M
2023/1/5,44.9,45.75,43.85,44,19.05M
2023/1/6,45.5,45.85,40.25,41,40.99M
2023/1/9,39.2,39.45,37.8,38.95,29.21M
2023/1/10,39.05,41.6,37.75,40.65,29.95M
2023/1/11,39.95,40.9,39.1,39.8,14.80M
2023/1/12,39.8,40.8,38,38.35,18.05M
2023/1/13,38.8,39.3,37.7,39,12.46M
2023/1/16,39,39.55,37.8,38.4,11.01M
2023/1/17,38.75,38.8,37.05,37.5,10.42M
2023/1/18,36.7,36.7,35.1,36.4,15.83M
2023/1/19,35.7,36.25,35.3,36.2,4.91M
2023/1/20,35.5,36.5,35.05,36.3,6.83M
2023/1/26,38.45,40.2,38.25,40.1,11.70M
2023/1/27,40.5,40.5,39.4,40.3,4.52M
2023/1/30,41.95,42.7,39.1,39.5,22.87M
2023/1/31,39.1,40.15,39,39.65,11.55M
2023/2/1,41.5,43.8,41,43.75,29.46M
2023/2/2,43.95,44.55,42.8,43,12.50M
2023/2/3,42.65,42.65,40.8,42.05,8.49M
2023/2/6,40.8,40.8,39.7,40.25,10.28M
2023/2/7,40.85,41.55,40.5,40.7,6.13M
2023/2/8,40.55,40.55,38.85,39.1,12.18M
2023/2/9,38.75,40.65,38.25,40.3,6.74M
2023/2/10,38.7,38.95,36.8,37.1,23.66M
2023/2/13,37,37.75,36.75,37.7,7.93M
2023/2/14,37.7,37.7,36.6,36.85,9.42M
2023/2/15,36.85,37.2,35.25,35.8,12.23M
2023/2/16,36.55,38.65,36.5,37.25,16.25M
2023/2/17,37.85,38.4,36.9,37.15,11.21M
2023/2/20,37.15,38.6,36.75,38.5,8.35M
2023/2/21,38.5,39.2,37.5,37.55,7.26M
2023/2/22,36.5,36.75,35.85,36.2,11.45M
2023/2/23,36.2,36.8,35.6,36.1,10.53M
2023/2/24,35.9,35.95,34.6,34.75,9.89M
2023/2/27,33.5,35.4,33.3,34.85,14.25M
2023/2/28,34.3,35,33.85,34.35,17.13M
2023/3/1,35.5,37.8,35.35,37.65,20.72M
2023/3/2,35.6,36.6,35.6,35.75,16.72M
2023/3/3,37.15,37.3,36.4,36.85,12.77M
2023/3/6,37.4,38.1,36.75,37.7,11.57M
2023/3/7,37.2,37.4,35.8,36,15.34M
2023/3/8,34.5,34.5,33.05,33.45,24.52M
2023/3/9,33.75,34.5,33.3,33.4,14.77M
